threshold,fpr,tpr
0.0,1.0,1.0
0.01,1.0,1.0
0.02,0.57,0.96
0.03,0.14,0.89
0.04,0.08,0.87
0.05,0.06,0.82
0.06,0.05,0.78
0.07,0.05,0.78
0.08,0.04,0.76
0.09,0.03,0.76
0.1,0.03,0.76
0.11,0.03,0.76
0.12,0.03,0.69
0.13,0.03,0.69
0.14,0.03,0.69
0.15,0.03,0.69
0.16,0.02,0.62
0.17,0.02,0.6
0.18,0.02,0.6
0.19,0.02,0.56
0.2,0.02,0.56
0.21,0.02,0.53
0.22,0.02,0.51
0.23,0.02,0.51
0.24,0.01,0.51
0.25,0.01,0.49
0.26,0.01,0.49
0.27,0.01,0.49
0.28,0.01,0.47
0.29,0.01,0.47
0.3,0.01,0.47
0.31,0.01,0.47
0.32,0.01,0.47
0.33,0.01,0.44
0.34,0.01,0.44
0.35000000000000003,0.01,0.44
0.36,0.01,0.44
0.37,0.01,0.44
0.38,0.01,0.44
0.39,0.01,0.44
0.4,0.01,0.44
0.41000000000000003,0.01,0.44
0.42,0.01,0.44
0.43,0.01,0.44
0.44,0.01,0.4
0.45,0.01,0.38
0.46,0.01,0.38
0.47000000000000003,0.01,0.36
0.48,0.01,0.36
0.49,0.01,0.36
0.5,0.01,0.36
0.51,0.01,0.33
0.52,0.01,0.31
0.53,0.01,0.31
0.54,0.01,0.29
0.55,0.01,0.29
0.56,0.01,0.29
0.5700000000000001,0.01,0.24
0.58,0.01,0.24
0.59,0.01,0.24
0.6,0.01,0.24
0.61,0.01,0.24
0.62,0.01,0.24
0.63,0.01,0.24
0.64,0.01,0.24
0.65,0.01,0.24
0.66,0.01,0.24
0.67,0.01,0.24
0.68,0.01,0.24
0.6900000000000001,0.01,0.24
0.7000000000000001,0.01,0.24
0.71,0.01,0.24
0.72,0.0,0.24
0.73,0.0,0.24
0.74,0.0,0.24
0.75,0.0,0.24
0.76,0.0,0.24
0.77,0.0,0.24
0.78,0.0,0.24
0.79,0.0,0.2
0.8,0.0,0.2
0.81,0.0,0.2
0.8200000000000001,0.0,0.2
0.8300000000000001,0.0,0.2
0.84,0.0,0.2
0.85,0.0,0.2
0.86,0.0,0.18
0.87,0.0,0.18
0.88,0.0,0.16
0.89,0.0,0.16
0.9,0.0,0.13
0.91,0.0,0.13
0.92,0.0,0.13
0.93,0.0,0.09
0.9400000000000001,0.0,0.09
0.9500000000000001,0.0,0.07
0.96,0.0,0.07
0.97,0.0,0.04
0.98,0.0,0.04
0.99,0.0,0.04
1.0,0.0,0.0
