scores,class
0.43,1
0.045,1
0.155,1
0.415,1
0.0,1
0.005,0
0.0,0
0.01,0
0.005,0
0.0,0
0.235,0
0.02,0
0.0,0
0.0,0
0.055,0
0.015,0
0.035,0
0.06,0
0.0,0
0.05,0
0.0,0
0.0,0
0.0,0
0.01,0
0.0,0
0.05,0
0.13,0
0.685,0
0.015,0
0.01,0
0.0,0
0.135,0
0.0,0
0.0,0
0.005,0
0.015,0
0.01,0
0.005,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.005,0
0.025,0
0.0,0
0.02,0
0.0,0
0.05,0
0.005,0
0.155,0
0.015,0
0.01,0
0.005,0
0.13,0
0.06,0
0.005,0
0.0,0
0.005,0
0.0,0
0.0,0
0.005,0
0.005,0
0.005,0
0.0,0
0.005,0
0.0,0
0.005,0
0.02,0
0.0,0
0.05,0
0.005,0
0.0,0
0.0,0
0.0,0
0.015,0
0.005,0
0.0,0
0.01,0
0.045,0
0.02,0
0.0,0
0.0,0
0.035,0
0.0,0
0.0,0
0.0,0
0.005,0
0.025,0
0.04,0
0.42,1
0.345,1
0.165,1
0.295,1
0.385,1
0.01,0
0.01,0
0.0,0
0.075,0
0.0,0
0.005,0
0.03,0
0.015,0
0.035,0
0.015,0
0.01,0
0.045,0
0.155,0
0.015,0
0.01,0
0.12,0
0.015,0
0.36,0
0.08,0
0.0,0
0.0,0
0.015,0
0.005,0
0.0,0
0.0,0
0.06,0
0.015,0
0.095,0
0.0,0
0.0,0
0.0,0
0.0,0
0.015,0
0.0,0
0.01,0
0.01,0
0.075,0
0.03,0
0.0,0
0.01,0
0.115,0
0.0,0
0.005,0
0.0,0
0.0,0
0.0,0
0.0,0
0.005,0
0.0,0
0.025,0
0.005,0
0.005,0
0.015,0
0.0,0
0.0,0
0.0,0
0.02,0
0.02,0
0.0,0
0.0,0
0.0,0
0.005,0
0.015,0
0.2,0
0.04,0
0.11,0
0.04,0
0.02,0
0.04,0
0.015,0
0.0,0
0.0,0
0.005,0
0.005,0
0.0,0
0.03,0
0.045,0
0.03,0
0.005,0
0.0,0
0.0,0
0.04,0
0.07,0
0.06,0
0.035,0
0.055,0
0.7,1
0.46,1
0.32,1
0.47,1
0.51,1
0.0,0
0.04,0
0.045,0
0.005,0
0.235,0
0.015,0
0.15,0
0.0,0
0.03,0
0.0,0
0.005,0
0.0,0
0.0,0
0.005,0
0.01,0
0.05,0
0.015,0
0.0,0
0.02,0
0.005,0
0.005,0
0.0,0
0.0,0
0.01,0
0.005,0
0.025,0
0.035,0
0.045,0
0.0,0
0.045,0
0.0,0
0.005,0
0.01,0
0.0,0
0.01,0
0.005,0
0.0,0
0.01,0
0.11,0
0.035,0
0.015,0
0.015,0
0.0,0
0.005,0
0.0,0
0.025,0
0.02,0
0.0,0
0.01,0
0.015,0
0.075,0
0.005,0
0.0,0
0.045,0
0.005,0
0.0,0
0.01,0
0.005,0
0.0,0
0.01,0
0.005,0
0.015,0
0.0,0
0.0,0
0.0,0
0.0,0
0.005,0
0.02,0
0.17,0
0.005,0
0.0,0
0.0,0
0.17,0
0.02,0
0.025,0
0.05,0
0.0,0
0.02,0
0.01,0
0.025,0
0.0,0
0.015,0
0.13,0
0.0,0
0.07,0
0.0,0
0.67,1
0.73,1
0.555,1
0.635,1
0.085,1
0.005,0
0.01,0
0.0,0
0.005,0
0.075,0
0.0,0
0.0,0
0.02,0
0.0,0
0.055,0
0.01,0
0.0,0
0.005,0
0.0,0
0.08,0
0.0,0
0.0,0
0.25,0
0.0,0
0.005,0
0.0,0
0.005,0
0.005,0
0.0,0
0.025,0
0.0,0
0.02,0
0.04,0
0.0,0
0.0,0
0.28,0
0.005,0
0.0,0
0.0,0
0.0,0
0.005,0
0.02,0
0.005,0
0.01,0
0.0,0
0.025,0
0.0,0
0.015,0
0.06,0
0.115,0
0.0,0
0.01,0
0.01,0
0.01,0
0.035,0
0.165,0
0.155,0
0.135,0
0.0,0
0.57,0
0.0,0
0.015,0
0.075,0
0.0,0
0.005,0
0.01,0
0.02,0
0.03,0
0.0,0
0.0,0
0.025,0
0.0,0
0.0,0
0.1,0
0.025,0
0.045,0
0.055,0
0.005,0
0.0,0
0.0,0
0.0,0
0.02,0
0.0,0
0.41,0
0.0,0
0.345,0
0.0,0
0.0,0
0.0,0
0.005,0
0.01,0
0.025,1
0.63,1
0.09,1
0.0,1
0.37,1
0.0,0
0.005,0
0.0,0
0.0,0
0.0,0
0.2,0
0.0,0
0.03,0
0.0,0
0.01,0
0.005,0
0.14,0
0.01,0
0.0,0
0.035,0
0.0,0
0.0,0
0.005,0
0.0,0
0.04,0
0.0,0
0.0,0
0.01,0
0.0,0
0.005,0
0.025,0
0.005,0
0.07,0
0.0,0
0.065,0
0.005,0
0.01,0
0.0,0
0.0,0
0.0,0
0.0,0
0.355,0
0.0,0
0.035,0
0.06,0
0.025,0
0.105,0
0.0,0
0.01,0
0.17,0
0.025,0
0.0,0
0.005,0
0.005,0
0.135,0
0.0,0
0.015,0
0.005,0
0.0,0
0.0,0
0.0,0
0.01,0
0.005,0
0.005,0
0.0,0
0.0,0
0.04,0
0.0,0
0.0,0
0.0,0
0.01,0
0.025,0
0.0,0
0.065,0
